name,league,position,minutes_played,goals,assists,expected_goals,goals_per90,assists_per90,goals_minus_xg
Rafiu Durosinmi,Serie A,F,348,1,1,0.3056,0.25862068965517243,0.25862068965517243,0.6944
Matteo Tramoni,Serie A,F,1233,2,2,2.7691,0.14598540145985403,0.14598540145985403,-0.7690999999999999
Henrik Wendel Meister,Serie A,F,1276,2,0,3.4236,0.14106583072100312,0.0,-1.4236
Stefano Moreo,Serie A,F,1580,5,1,3.8883,0.2848101265822785,0.056962025316455694,1.1117
Filip Stojilković,Serie A,F,265,0,0,0.6353,0.0,0.0,-0.6353
Juan Cuadrado,Serie A,M,405,1,0,0.9027,0.2222222222222222,0.0,0.09730000000000005
Lorran,Serie A,M,103,1,0,1.0229,0.8737864077669902,0.0,-0.02289999999999992
Felipe Loyola,Serie A,M,284,1,0,0.3118,0.31690140845070425,0.0,0.6881999999999999
Ebenezer Akinsanmiro,Serie A,M,933,0,1,0.6221,0.0,0.09646302250803858,-0.6221
Calvin Stengs,Serie A,M,35,0,0,0.0779,0.0,0.0,-0.0779
Mehdi Léris,Serie A,M,1224,1,3,1.4786,0.07352941176470588,0.22058823529411764,-0.4785999999999999
Marius Marin,Serie A,M,1276,0,0,0.1151,0.0,0.0,-0.1151
Michel Aebischer,Serie A,M,2209,1,1,0.4069,0.040742417383431415,0.040742417383431415,0.5931
Isak Vural,Serie A,M,434,0,0,0.1164,0.0,0.0,-0.1164
Idrissa Touré,Serie A,M,1991,1,0,1.943,0.04520341536916123,0.0,-0.9430000000000001
Samuele Angori,Serie A,M,1767,0,1,0.4693,0.0,0.050933786078098474,-0.4693
Malthe Højholt,Serie A,M,402,0,0,0.2002,0.0,0.0,-0.2002
Gabriele Piccinini,Serie A,M,661,0,0,1.2853,0.0,0.0,-1.2853
Raúl Albiol,Serie A,D,367,0,0,0.0678,0.0,0.0,-0.0678
Rosen Bozhinov,Serie A,D,340,0,0,0.0101,0.0,0.0,-0.0101
Simone Canestrelli,Serie A,D,2315,0,0,0.9932,0.0,0.0,-0.9932
Francesco Coppola,Serie A,D,451,0,0,0.099,0.0,0.0,-0.099
Antonio Caracciolo,Serie A,D,2264,0,0,0.8266,0.0,0.0,-0.8266
Arturo Calabresi,Serie A,D,1040,0,0,0.1991,0.0,0.0,-0.1991
Daniel Denoon,Serie A,D,123,0,0,,0.0,0.0,
Adrian Šemper,Serie A,G,1530,0,0,,0.0,0.0,
Simone Scuffet,Serie A,G,630,0,0,,0.0,0.0,
Nícolas,Serie A,G,360,0,0,,0.0,0.0,
Harry Kane,Bundesliga,F,1948,30,5,22.5759,1.3860369609856262,0.23100616016427103,7.424099999999999
Nicolas Jackson,Bundesliga,F,563,4,0,3.6361,0.6394316163410302,0.0,0.3639000000000001
Wisdom Mike,Bundesliga,F,37,0,0,0.0913,0.0,0.0,-0.0913
Luis Díaz,Bundesliga,M,1990,14,11,12.2482,0.6331658291457287,0.4974874371859297,1.7517999999999994
Jamal Musiala,Bundesliga,M,307,1,2,1.6752,0.2931596091205212,0.5863192182410424,-0.6752
Michael Olise,Bundesliga,M,1791,10,16,8.38,0.5025125628140703,0.8040201005025126,1.6199999999999992
Lennart Karl,Bundesliga,M,995,4,3,4.8558,0.36180904522613067,0.271356783919598,-0.8558000000000003
Joshua Kimmich,Bundesliga,M,1636,2,6,2.2017,0.1100244498777506,0.33007334963325186,-0.2017000000000002
Serge Gnabry,Bundesliga,M,1076,6,6,5.6174,0.5018587360594795,0.5018587360594795,0.38260000000000005
Leon Goretzka,Bundesliga,M,1294,2,1,1.7435,0.1391035548686244,0.0695517774343122,0.25649999999999995
Aleksandar Pavlović,Bundesliga,M,1275,3,1,1.5344,0.2117647058823529,0.07058823529411765,1.4656
Tom Bischof,Bundesliga,M,920,0,3,1.125,0.0,0.2934782608695652,-1.125
David Daiber,Bundesliga,M,27,0,0,0.0624,0.0,0.0,-0.0624
Alphonso Davies,Bundesliga,D,357,0,1,0.1272,0.0,0.25210084033613445,-0.1272
Min-jae Kim,Bundesliga,D,1046,1,1,0.352,0.08604206500956023,0.08604206500956023,0.648
Dayot Upamecano,Bundesliga,D,1511,1,1,1.0277,0.05956320317670417,0.05956320317670417,-0.027700000000000058
Jonathan Tah,Bundesliga,D,1664,2,1,0.7083,0.10817307692307693,0.054086538461538464,1.2917
Josip Stanišić,Bundesliga,D,1255,2,3,1.0768,0.14342629482071714,0.21513944223107567,0.9232
Raphaël Guerreiro,Bundesliga,D,475,3,2,1.6389,0.5684210526315789,0.37894736842105264,1.3611
Konrad Laimer,Bundesliga,D,1429,3,4,2.348,0.18894331700489853,0.25192442267319803,0.6520000000000001
Hiroki Itō,Bundesliga,D,492,1,2,0.8088,0.1829268292682927,0.3658536585365854,0.19120000000000004
Cassiano Kiala,Bundesliga,D,1,0,0,,0.0,0.0,
Manuel Neuer,Bundesliga,G,1620,0,0,,0.0,0.0,
Jonas Urbig,Bundesliga,G,630,0,0,,0.0,0.0,
Serhou Guirassy,Bundesliga,F,1797,12,1,11.6292,0.6010016694490818,0.05008347245409015,0.37079999999999913
Karim Adeyemi,Bundesliga,F,1026,5,3,3.5776,0.43859649122807015,0.2631578947368421,1.4224
Fábio Silva,Bundesliga,F,580,1,5,1.573,0.15517241379310345,0.7758620689655172,-0.573
Maximilian Beier,Bundesliga,F,1358,8,4,5.8234,0.5301914580265096,0.2650957290132548,2.1765999999999996
Jobe Bellingham,Bundesliga,M,1043,0,1,0.6921,0.0,0.0862895493767977,-0.6921
Carney Chukwuemeka,Bundesliga,M,674,2,0,1.7066,0.26706231454005935,0.0,0.2934000000000001
Julian Brandt,Bundesliga,M,1227,6,3,4.8541,0.4400977995110024,0.2200488997555012,1.1459000000000001
Marcel Sabitzer,Bundesliga,M,1195,1,2,1.0181,0.07531380753138076,0.1506276150627615,-0.018100000000000005
Yan Couto,Bundesliga,M,981,1,2,0.6791,0.09174311926605505,0.1834862385321101,0.32089999999999996
Felix Nmecha,Bundesliga,M,1903,2,3,1.7687,0.09458749343142406,0.1418812401471361,0.23130000000000006
Daniel Svensson,Bundesliga,M,1965,2,2,1.3873,0.0916030534351145,0.0916030534351145,0.6127
Salih Özcan,Bundesliga,M,51,0,0,0.1047,0.0,0.0,-0.1047
